"","Celecoxib","Hydroxyurea","Methoxsalen","Raloxifene hydrochloride","Imatinib mesylate","Vorinostat","Temozolomide","Teniposide","Thalidomide","Daunorubicin hydrochloride","Doxorubicin hydrochloride","Paclitaxel","Etoposide","Exemestane","Zoledronic acid","Gefitinib","Methotrexate","Abiraterone","Docetaxel","Lapatinib ditosylate","Sorafenib tosylate","Lenalidomide","Bortezomib","Carboplatin","Tretinoin","Dactinomycin","Nilotinib","Tamoxifen citrate","Dasatinib","Vandetanib","Sirolimus","Sunitinib","Romidepsin","Vincristine sulfate","Everolimus","Axitinib","Crizotinib","Vemurafenib","Megestrol acetate","Chlorambucil","Ruxolitinib","Cyclophosphamide","Quinacrine hydrochloride","Gemcitabine hydrochloride","Letrozole","Azacitidine","Mitoxantrone","Capecitabine","Cytarabine hydrochloride","Carmustine","Erlotinib hydrochloride","Oxaliplatin","Allopurinol","Bleomycin sulfate","4'-Epiadriamycin","Floxuridine","Vinblastine sulfate","Ifosfamide","Fulvestrant","Topotecan hydrochloride","Busulfan","Anastrozole","Cisplatin","Streptozocin","Melphalan","Arsenic trioxide","Mercaptopurine","Fluorouracil","Cabazitaxel","Cladribine","Vismodegib","Mitomycin","Fludarabine","Decitabine","Clofarabine","Idarubicin hydrochloride","Vinorelbine tartrate","Thiotepa","Thioguanine","Ixabepilone","Pemetrexed Disodium","Dacarbazine","Mitotane","7-Ethyl-10-hydroxycamptothecin","Pazopanib hydrochloride","Eribulin mesylate","Bendamustine hydrochloride"
"ALK",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"ABL1",1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AURKC",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DDR1",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DDR2",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PRKCA",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDK2",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"INSR",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MYO3B",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABL2",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
