"","drugname1","drugname2","Steroid hormone biosynthesis - Homo sapiens (human)","Tryptophan metabolism - Homo sapiens (human)","Glutathione metabolism - Homo sapiens (human)","Arachidonic acid metabolism - Homo sapiens (human)","Linoleic acid metabolism - Homo sapiens (human)","Retinol metabolism - Homo sapiens (human)","Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)","Drug metabolism - cytochrome P450 - Homo sapiens (human)","Drug metabolism - other enzymes - Homo sapiens (human)","ABC transporters - Homo sapiens (human)","MAPK signaling pathway - Homo sapiens (human)","ErbB signaling pathway - Homo sapiens (human)","Ras signaling pathway - Homo sapiens (human)","Rap1 signaling pathway - Homo sapiens (human)","Calcium signaling pathway - Homo sapiens (human)","cAMP signaling pathway - Homo sapiens (human)","Cytokine-cytokine receptor interaction - Homo sapiens (human)","Chemokine signaling pathway - Homo sapiens (human)","NF-kappa B signaling pathway - Homo sapiens (human)","HIF-1 signaling pathway - Homo sapiens (human)","FoxO signaling pathway - Homo sapiens (human)","Sphingolipid signaling pathway - Homo sapiens (human)","Phospholipase D signaling pathway - Homo sapiens (human)","Cell cycle - Homo sapiens (human)","Oocyte meiosis - Homo sapiens (human)","p53 signaling pathway - Homo sapiens (human)","Mitophagy - animal - Homo sapiens (human)","Autophagy - animal - Homo sapiens (human)","Protein processing in endoplasmic reticulum - Homo sapiens (human)","Endocytosis - Homo sapiens (human)","mTOR signaling pathway - Homo sapiens (human)","PI3K-Akt signaling pathway - Homo sapiens (human)","Apoptosis - Homo sapiens (human)","Longevity regulating pathway - Homo sapiens (human)","Longevity regulating pathway - multiple species - Homo sapiens (human)","Necroptosis - Homo sapiens (human)","Cellular senescence - Homo sapiens (human)","Adrenergic signaling in cardiomyocytes - Homo sapiens (human)","Wnt signaling pathway - Homo sapiens (human)","Axon guidance - Homo sapiens (human)","VEGF signaling pathway - Homo sapiens (human)","Apelin signaling pathway - Homo sapiens (human)","Osteoclast differentiation - Homo sapiens (human)","Hippo signaling pathway - Homo sapiens (human)","Focal adhesion - Homo sapiens (human)","Adherens junction - Homo sapiens (human)","Tight junction - Homo sapiens (human)","Gap junction - Homo sapiens (human)","Signaling pathways regulating pluripotency of stem cells - Homo sapiens (human)","Platelet activation - Homo sapiens (human)","Neutrophil extracellular trap formation - Homo sapiens (human)","Toll-like receptor signaling pathway - Homo sapiens (human)","NOD-like receptor signaling pathway - Homo sapiens (human)","C-type lectin receptor signaling pathway - Homo sapiens (human)","JAK-STAT signaling pathway - Homo sapiens (human)","Hematopoietic cell lineage - Homo sapiens (human)","Natural killer cell mediated cytotoxicity - Homo sapiens (human)","IL-17 signaling pathway - Homo sapiens (human)","Th1 and Th2 cell differentiation - Homo sapiens (human)","Th17 cell differentiation - Homo sapiens (human)","T cell receptor signaling pathway - Homo sapiens (human)","B cell receptor signaling pathway - Homo sapiens (human)","Fc epsilon RI signaling pathway - Homo sapiens (human)","Fc gamma R-mediated phagocytosis - Homo sapiens (human)","TNF signaling pathway - Homo sapiens (human)","Leukocyte transendothelial migration - Homo sapiens (human)","Thermogenesis - Homo sapiens (human)","Neurotrophin signaling pathway - Homo sapiens (human)","Cholinergic synapse - Homo sapiens (human)","Serotonergic synapse - Homo sapiens (human)","Long-term depression - Homo sapiens (human)","Inflammatory mediator regulation of TRP channels - Homo sapiens (human)","Regulation of actin cytoskeleton - Homo sapiens (human)","Insulin signaling pathway - Homo sapiens (human)","GnRH signaling pathway - Homo sapiens (human)","Progesterone-mediated oocyte maturation - Homo sapiens (human)","Estrogen signaling pathway - Homo sapiens (human)","Prolactin signaling pathway - Homo sapiens (human)","Thyroid hormone signaling pathway - Homo sapiens (human)","Oxytocin signaling pathway - Homo sapiens (human)","Regulation of lipolysis in adipocytes - Homo sapiens (human)","Relaxin signaling pathway - Homo sapiens (human)","Parathyroid hormone synthesis, secretion and action - Homo sapiens (human)","GnRH secretion - Homo sapiens (human)","Type II diabetes mellitus - Homo sapiens (human)","Insulin resistance - Homo sapiens (human)","Non-alcoholic fatty liver disease - Homo sapiens (human)","AGE-RAGE signaling pathway in diabetic complications - Homo sapiens (human)","Cushing syndrome - Homo sapiens (human)","Growth hormone synthesis, secretion and action - Homo sapiens (human)","Alcoholic liver disease - Homo sapiens (human)","Aldosterone-regulated sodium reabsorption - Homo sapiens (human)","Bile secretion - Homo sapiens (human)","Alzheimer disease - Homo sapiens (human)","Parkinson disease - Homo sapiens (human)","Amyotrophic lateral sclerosis - Homo sapiens (human)","Huntington disease - Homo sapiens (human)","Spinocerebellar ataxia - Homo sapiens (human)","Prion disease - Homo sapiens (human)","Pathways of neurodegeneration - multiple diseases - Homo sapiens (human)","Alcoholism - Homo sapiens (human)","Pathogenic Escherichia coli infection - Homo sapiens (human)","Shigellosis - Homo sapiens (human)","Salmonella infection - Homo sapiens (human)","Yersinia infection - Homo sapiens (human)","Leishmaniasis - Homo sapiens (human)","Chagas disease - Homo sapiens (human)","Malaria - Homo sapiens (human)","Toxoplasmosis - Homo sapiens (human)","Amoebiasis - Homo sapiens (human)","Tuberculosis - Homo sapiens (human)","Hepatitis C - Homo sapiens (human)","Hepatitis B - Homo sapiens (human)","Measles - Homo sapiens (human)","Human cytomegalovirus infection - Homo sapiens (human)","Influenza A - Homo sapiens (human)","Human papillomavirus infection - Homo sapiens (human)","Human T-cell leukemia virus 1 infection - Homo sapiens (human)","Kaposi sarcoma-associated herpesvirus infection - Homo sapiens (human)","Herpes simplex virus 1 infection - Homo sapiens (human)","Epstein-Barr virus infection - Homo sapiens (human)","Human immunodeficiency virus 1 infection - Homo sapiens (human)","Coronavirus disease - COVID-19 - Homo sapiens (human)","Pathways in cancer - Homo sapiens (human)","Transcriptional misregulation in cancer - Homo sapiens (human)","Viral carcinogenesis - Homo sapiens (human)","Chemical carcinogenesis - DNA adducts - Homo sapiens (human)","Proteoglycans in cancer - Homo sapiens (human)","MicroRNAs in cancer - Homo sapiens (human)","Chemical carcinogenesis - receptor activation - Homo sapiens (human)","Chemical carcinogenesis - reactive oxygen species - Homo sapiens (human)","Colorectal cancer - Homo sapiens (human)","Renal cell carcinoma - Homo sapiens (human)","Pancreatic cancer - Homo sapiens (human)","Endometrial cancer - Homo sapiens (human)","Glioma - Homo sapiens (human)","Prostate cancer - Homo sapiens (human)","Thyroid cancer - Homo sapiens (human)","Basal cell carcinoma - Homo sapiens (human)","Melanoma - Homo sapiens (human)","Bladder cancer - Homo sapiens (human)","Chronic myeloid leukemia - Homo sapiens (human)","Acute myeloid leukemia - Homo sapiens (human)","Small cell lung cancer - Homo sapiens (human)","Non-small cell lung cancer - Homo sapiens (human)","Breast cancer - Homo sapiens (human)","Hepatocellular carcinoma - Homo sapiens (human)","Gastric cancer - Homo sapiens (human)","Central carbon metabolism in cancer - Homo sapiens (human)","Choline metabolism in cancer - Homo sapiens (human)","PD-L1 expression and PD-1 checkpoint pathway in cancer - Homo sapiens (human)","Inflammatory bowel disease - Homo sapiens (human)","Rheumatoid arthritis - Homo sapiens (human)","Diabetic cardiomyopathy - Homo sapiens (human)","Viral myocarditis - Homo sapiens (human)","Lipid and atherosclerosis - Homo sapiens (human)","Fluid shear stress and atherosclerosis - Homo sapiens (human)"
"1","Hydroxyurea","Celecoxib",2.5551088015,0,0.642932503,0.6689269655,2.304943128,2.73375025,4.1203463605,4.085016848,3.2515540845,0.066771531,11.1192098495,15.081910303,12.2371452915,12.0812975125,2.3570805695,3.8376316535,3.731375427,12.15916552,1.846911033,10.299152139,12.9331348955,12.696780284,11.5523202495,4.346596429,2.442568851,4.534769759,2.2518048855,10.003140287,2.7026692985,1.126268299,10.673699383,11.129962395,12.2721500255,11.238498907,10.3066300095,1.822927703,12.7417480505,3.0517989925,2.4340435015,7.360289254,14.2776308335,5.0624370985,4.429894557,1.586815501,10.8693415985,1.770348955,4.5910569365,5.030197592,9.8894342225,4.0893530675,3.227460243,4.880552228,2.6201218675,13.4912988195,8.529221862,1.4151779,10.9463737535,2.542453705,2.706585653,3.0169043815,14.442430274,12.8761948425,14.5807129555,3.756913819,12.012706968,2.679988977,6.727245099,14.550943623,12.3743994575,8.019343057,8.743367141,4.163244732,9.1751790055,11.777034905,12.6813401425,4.302761383,12.6254790345,14.1030951895,11.3278798035,10.2516356715,3.121274593,15.3280295445,8.289465837,11.265678313,2.9476719585,3.5578357795,10.1651304725,13.813267559,3.563258988,15.9628860405,8.6090901295,2.893829635,3.799139823,11.150820488,6.774241668,6.10715678,6.352051715,7.480752974,3.894243385,9.6818751005,6.86744381,7.592931498,3.847387856,9.2536703655,4.765063399,2.31854319,4.7667527195,0,3.461340713,2.8285334375,3.492834753,13.4256976355,16.882908127,4.345243837,17.0630285975,4.1001026755,11.2913527785,12.412059286,15.6491835395,1.726828553,11.967319711,14.4829908,2.8058030005,12.989516887,4.0951827695,9.172833172,4.106269916,13.0422137765,7.403936738,12.3239344475,11.8667083345,16.060074781,12.640748459,6.5036040565,15.142794089,16.337762594,15.3121399235,7.975581546,1.78445299,14.0297365,8.719220298,15.900082626,13.5170550365,4.073041112,15.415515066,13.7080186705,13.8015864295,13.8991821765,10.4178676035,12.793783843,14.065256138,1.3197015275,4.013508003,3.724366873,3.70859413,14.1674172315,10.672421083
"2","Methoxsalen","Celecoxib",2.5654480205,0.154750093,0,0.586157212,2.219416746,2.745623019,3.9941361325,3.9500488325,3.0973829455,0.0590005785,9.6250586535,3.420431086,3.0136827355,10.17941374,1.531282752,2.658786998,0.880265008,3.228459444,1.773177439,2.380768592,10.6638501315,11.1494975395,2.690375303,0.733285802,6.419004566,0.669746143,0,2.341160497,0.572832732,0,2.2790870105,2.5259165135,3.187446534,2.5141141985,2.291486205,1.727904838,10.8088188635,7.3899293675,1.5639265185,1.7507234735,12.2261585745,0,11.2274915485,0.79864746,2.495789047,1.015269518,1.1315603285,0,8.2783332,9.412360584,7.7347762705,12.5373504065,7.865574876,12.488140027,1.996374657,0,2.8002656205,7.487928159,8.2420240305,8.761424032,12.938228698,3.441570076,12.6412632545,2.3531703295,11.385563472,6.639889895,6.0272195175,12.60567592,3.204946928,6.64257045,2.02877747,9.924634002,2.073769695,2.681512733,11.175509576,9.738769896,10.534310158,11.996868512,9.288532893,2.7892352925,1.9630429005,13.1959657315,2.048628717,2.66075051,1.9239781005,2.38880945,9.4641775005,12.447436966,1.979969096,13.7036045715,8.6122024965,1.6408733075,3.593593308,3.1805494065,2.0783031115,5.5167384035,1.8581643125,1.854435563,8.7040809215,8.4365058145,1.6109107465,7.4092300095,9.394694104,8.6887299525,11.876927365,7.8592924685,12.326950328,0,9.829576859,2.1500485005,9.511728569,3.428644909,15.061288526,3.4994797475,14.7568987235,3.270515944,2.5887560265,3.386321569,13.8297852985,1.4362943565,11.0613223345,13.095749992,7.989554707,10.808889098,0.7277627835,2.1633472175,3.9728211165,10.8726924485,1.497420263,10.3457195905,10.59861008,3.4418344785,2.7033172915,3.4563324255,2.827756588,3.2866087175,3.280303803,1.237365448,0.6594068245,2.595479921,1.5132176065,3.3333469285,2.973325325,2.313546506,2.9937546475,10.423286547,2.905071826,2.719596938,2.1019326275,2.9329401435,12.7534577225,1.594726137,1.1342115695,8.9349023155,0.8596874565,13.4099609795,9.9658988475
"3","Vorinostat","Celecoxib",2.574428852,0,0,0.7702521775,2.4141345665,2.73375025,4.0274260065,3.986886007,3.1577606465,1.155833535,12.315559677,16.45333397,13.34515985,13.3759902625,6.8610086755,11.111631667,1.6467222235,13.48844996,6.8283787375,11.597140049,14.3662050905,14.3564043665,12.6572263205,4.756638117,3.380032795,4.9270016855,2.2518048855,11.094949428,2.980948476,1.126268299,11.7836175115,12.2058195395,13.793225559,12.3850547255,11.4202216055,6.7675994355,14.1465101675,4.0651553555,7.617941485,8.131639593,15.9004843275,5.0624370985,13.818405994,5.3121984585,12.1056618085,5.6762839925,5.194318009,5.030197592,11.0730790625,11.886010629,9.915148013,15.3531069005,9.367815336,15.5186346615,9.498493505,1.4151779,12.1724691465,8.743008318,9.579533704,10.365767218,16.431086208,14.4436457115,16.32750795,10.763626966,14.0146678975,8.337077038,7.387547589,16.266451564,13.6600756215,8.6551987435,9.4844965145,12.2350368855,10.1209188235,12.985644856,14.024793096,12.296003667,13.8215234625,15.728476223,12.523525258,5.2178538265,9.2326784095,17.062296849,9.144950892,12.397959556,9.1226921525,10.563317508,11.686003909,15.926058415,10.00458413,17.8264653955,10.282845749,8.4653433065,4.143032667,12.5381304665,7.55799971,6.7458267115,7.016351137,8.442932196,10.8899633945,10.8058827025,7.4677137115,8.974285264,11.7989498795,10.7435705085,14.6350652115,9.142036622,15.1741150415,1.409217505,11.92893747,9.214092926,11.4842953095,15.2777723105,19.3773425915,13.729675132,19.0519563495,13.037529297,12.6526179635,14.0457016635,17.6865803545,6.1650822905,14.060888164,16.4484522515,9.736711659,14.4937638755,4.539424951,10.2283248705,4.02055259,14.5323293725,8.02099044,13.397729942,13.219583769,17.7604314175,13.7480023625,17.3722692965,16.491664773,17.688332068,16.800178633,8.5441118975,5.5766941885,15.198508399,9.2262996135,17.5322610515,14.883787432,11.784517543,16.7931414435,15.0158633515,15.1135252525,15.313443034,11.349400167,14.0734804705,16.199442072,2.426355887,1.8412803385,11.047049511,1.602883852,16.4974137555,12.131811469
"4","Temozolomide","Celecoxib",0.631348352,0,0.642932503,0.3213389975,0.3248991325,0.6890248805,3.783894815,3.736289928,3.0656759185,1.1441426825,10.926617392,14.46234456,11.8101686655,11.6882956355,6.0618713685,3.5344100255,3.8543382635,4.5296352885,5.969841782,10.109546159,12.5555148595,12.265217277,11.0117525975,4.5495599935,2.271013022,4.7533813415,2.2518048855,9.590868881,0.7425802355,1.126268299,10.4755451,11.102771125,12.1043597915,10.5596337315,3.656715831,5.899234284,12.543958705,2.7700313545,6.9104934175,7.1502438505,5.2272675105,5.0624370985,4.3708542025,5.0267739255,10.7400396915,5.143154064,1.5310164555,5.030197592,9.8937187275,3.6112127865,8.5819054635,4.951140985,2.938206066,5.0356869585,8.5548997705,1.4151779,10.66665357,7.5194884955,8.1039619765,3.34123402,14.0700098995,4.849606813,13.836724325,3.3489651115,11.9877087455,2.510805996,2.313155323,14.068458086,4.4275841685,2.601810575,2.942383849,3.688145943,9.009019585,4.4258066245,11.89560511,3.845662973,11.9270756815,13.5078632455,10.953566642,9.6381212005,2.6247432465,14.5900485915,7.925385783,3.967886525,2.6693381365,8.9514592595,3.683475672,5.3352144645,8.971215238,5.897678422,3.2613402975,2.5452685395,3.575692279,4.2283654905,6.395027939,5.71825041,5.9632040155,2.565724313,9.1832514845,3.647993128,6.695652503,7.6673192375,10.1192481685,9.296099787,4.712850588,2.6077244495,4.7117589465,0,3.7182986025,7.815833615,3.6448608955,13.4783753655,16.8944341305,11.8819847625,16.672462408,4.374381661,11.486999653,12.4332980035,15.4842997235,5.456967044,12.3313394145,14.220851648,8.324580689,13.158514282,4.307775154,9.232914677,3.766891135,12.911998231,7.319224921,11.8941478705,11.449789262,15.9219191665,4.8622524085,15.4350935275,14.891750814,15.9135718355,15.1058745805,7.9506996485,5.4347725085,13.8224358285,8.547296431,15.676683707,13.1098768985,10.603735439,15.088473841,13.852584261,13.8859511345,14.1234817495,10.0334980285,12.256179878,13.8720143755,1.6095190095,4.1808656515,9.308958882,3.8540707215,14.0893346775,10.6010725795
"5","Teniposide","Celecoxib",2.5451160375,0,0,2.2359005745,2.279770569,2.7421948045,3.9606726255,3.924126038,3.0751083595,1.1441426825,9.1362669875,2.8769560945,2.635792507,2.424304399,1.2069914425,2.0512655845,3.667047587,2.64951779,5.513559414,8.3302896965,2.6119002805,10.4186079335,2.1190007555,0.77795193,1.2249011135,4.01398302,0,7.9689910815,2.590179316,0,2.1801926215,9.390639433,10.477012715,2.15820998,1.779076024,5.707159989,2.695356374,6.7565965245,1.436397265,1.340304532,2.673258493,0,2.8382793205,0.9593226905,8.76996225,0.8566994415,0.9318887305,0,2.0135183,2.051902786,1.712618128,3.8086338465,7.6348828015,3.07810244,7.3938412755,0,8.947456713,2.062146636,1.823343982,2.012820698,2.976851022,2.484757438,2.770757867,1.708885196,10.6399539395,1.447629437,1.206870204,11.6280535075,9.752895635,6.325431647,1.560281919,2.156381631,1.864223923,2.198281361,2.4724550255,2.025881436,9.8612103475,2.7503709495,8.9676792595,2.003345005,1.4293781375,3.3573107025,6.6189167355,2.086311128,1.4522797375,1.9629429125,8.6053012425,11.463278208,1.91695945,3.2900636145,8.268636331,1.291532049,3.447885102,9.238797999,1.568429689,5.165626422,1.496237161,1.6084882715,2.2287888055,8.1327238245,1.2669631715,6.9940450575,8.886574885,8.302902556,3.0599555955,1.902341168,11.2799834325,0,9.2416728495,1.8735345765,9.037943652,11.797431109,14.6855975605,10.9215125495,14.317759143,10.3236506845,9.7874426905,2.7884846305,13.47248382,5.169836112,11.035524638,12.5172977375,2.361061307,11.0629857965,0.854948056,2.0922109595,3.941266479,10.4760163325,5.9958424645,10.0331158745,2.6298348785,12.4744020445,2.3265293875,3.308230496,2.901006129,3.091504485,11.9737799925,1.401164925,1.0142978935,2.704556307,1.488732902,3.1878382205,2.611128537,8.9461609865,2.942270018,10.68194045,3.0429895115,10.871427837,1.883676734,2.37061221,3.060370855,1.103965039,0.9351884365,2.024290946,0.824952317,12.8260476065,9.151813033
"6","Thalidomide","Celecoxib",2.592442759,0.154750093,0.642932503,2.485600916,2.524091219,2.7596737035,4.1560046675,4.1202836715,3.2503617325,1.153486117,11.559265921,6.25142439,12.2586892365,12.1731576015,6.171906451,9.997473577,4.3762582235,12.334065931,6.7754018815,10.679279723,5.5587002685,13.079043303,11.2541183745,4.5909114925,6.8166699325,1.8035747125,0,3.9700763985,2.792231417,1.126268299,10.785855104,11.4684751095,12.776506776,10.7482644955,3.9295884155,6.554117051,13.123130155,3.0337377065,7.213138583,3.0207942705,14.54410049,0,13.200775918,5.2334598375,11.222286346,5.3882984445,1.795168389,0,10.371930509,10.6546340505,9.097722836,14.7232481035,8.998597363,14.4888378695,9.1461456175,1.4151779,11.433018719,8.55643912,9.544662601,10.323136803,15.3744936485,13.4585336145,14.925878878,9.83794786,13.2601709475,7.7551997855,2.403796025,14.8498499475,4.7141900565,7.5157304335,3.1064614585,4.247222496,9.4018270895,4.71493711,4.816399128,4.5250242875,4.7979152405,14.2999015535,11.3085638855,9.849525079,8.0599996985,15.166965931,2.9257767835,4.3533724195,8.2225708005,9.596069508,10.75243334,14.837854142,9.005015525,6.4129880745,9.98058449,2.92995875,3.7376234905,11.301039817,2.4940147065,5.952636862,2.3064503545,2.837306283,9.6658942125,9.692421898,2.4932286175,8.5677382155,11.0173155735,10.1803644515,13.8954394375,9.2185643345,14.2978668495,1.409217505,11.6189885965,8.622148608,11.2294981685,14.445540103,18.249183585,13.2053955,17.5614004175,12.6720133575,12.015346539,13.23823984,16.6800464675,6.0566170785,13.6026330685,15.3659060025,9.3799180635,13.701386683,4.381833549,9.510261332,4.165149016,13.455015477,7.432281915,12.245885175,12.09780178,16.366784525,12.538948024,16.1589411195,15.084257964,6.8005753765,15.390885443,7.9042241735,5.4677989715,13.890285168,8.4229156865,16.1691924205,13.6828457965,11.1944042515,15.25002873,13.972251406,14.1206220855,14.3460584805,10.336568144,5.3126052105,15.199516507,6.0898150215,4.9835341125,9.990783003,4.3342667865,15.6506487465,11.522225848
"7","Daunorubicin hydrochloride","Celecoxib",2.5975448,0.154750093,0.642932503,2.5762554725,2.6515451465,2.757527781,4.1560046675,4.125056352,3.256984249,1.155833535,12.369764026,16.369589829,13.333658205,13.32634628,6.9554445315,11.160729289,4.159890518,13.4715757975,2.89444761,11.5299440525,14.294119457,14.33187675,12.625574791,4.847502259,7.9003395795,4.921854518,2.2518048855,10.9851024435,2.9694953715,1.126268299,11.697746852,12.167429504,13.688830933,12.2915434315,11.304489526,6.7579983355,14.18593761,9.268764553,7.657566237,8.108764695,15.87334186,5.0624370985,13.7305189255,5.36311363,11.9965471775,5.630413756,5.1377100725,5.030197592,11.0383153235,11.917176894,9.8151953565,15.2170680325,9.313519087,15.5125052555,4.3282577695,1.4151779,12.079419631,8.739121431,9.701847985,10.510839861,16.343653252,14.346005136,16.2475268105,10.691465236,13.891976978,3.607801035,3.2283409475,16.2489904685,13.726853962,8.7978697345,9.576251881,12.3514848935,10.0454969985,12.9443085065,14.2358530875,12.406898738,13.866955633,15.607064888,12.4843647025,11.5076417225,4.147292691,17.0439306615,9.204458998,12.364228009,9.0072422985,10.4670588655,11.473770693,15.8325318455,10.10576772,17.764824409,10.2113779205,8.3970433205,4.1837690725,12.3648239425,7.4125350875,6.580448837,6.8057320245,3.7197367385,10.6857216825,10.694793878,7.52872083,8.8891571965,11.6875075045,10.6724360485,14.512604626,9.1729609035,15.125691464,0,11.9176440945,9.124510308,11.5417747635,15.1510811355,19.2813102695,13.592338946,19.0528343515,12.968508136,12.6040805145,14.070233954,17.6574520635,6.1284615205,13.9108492305,16.421053509,9.6526759965,14.4922938985,4.5069370795,10.1797319145,4.1582737855,14.481346405,7.9656633155,13.415595134,13.049777563,17.664540486,13.6445419835,17.26976795,16.379347981,17.663146199,16.7114813625,8.554279935,5.5676377595,15.1037913325,9.233133819,17.427100077,14.7647761315,11.649676429,16.6630227475,14.945837388,15.0601091445,15.240792231,11.2716307855,13.9984451395,16.100429895,5.84419662,1.8809781115,10.8568906475,1.6152831195,16.4410298245,12.1040743315
"8","Doxorubicin hydrochloride","Celecoxib",2.5975448,0.154750093,0.642932503,2.5966955575,2.6631730535,2.7596737035,4.1560046675,4.127174996,3.256984249,1.155833535,12.5192853875,16.5511382745,13.4951969085,13.568877363,7.0728817855,11.3717643985,4.414304916,13.7284972055,6.94104117,11.7244380955,14.4898500935,14.538830687,12.8267952725,4.889489131,7.980259727,4.987009016,2.2518048855,11.164596719,2.990713894,1.126268299,11.8696038345,12.3554239375,13.900222175,12.5452709285,11.561982903,6.894564967,14.367820738,9.416213968,7.730029599,8.227811552,16.088315314,5.0624370985,13.9830691285,5.419068577,12.2056242355,5.734893893,5.2770006025,5.030197592,11.1472531925,12.1679801225,10.0019274805,15.5389604755,9.4939587465,15.7396113275,9.7275844505,1.4151779,12.3347530495,8.9312576545,9.9208798745,10.7540186855,16.5868311635,14.555149622,16.4953944925,10.851330059,14.195886795,8.4238197265,7.4946736085,16.432009409,13.947599244,8.892012077,9.6877202985,12.565961017,10.2012764125,13.1083101585,14.3958017725,12.614610612,14.0718187855,15.830408532,12.6644136275,11.661992504,9.3923740625,17.2842736565,9.3574336835,12.5222016425,9.161572821,10.656978128,11.786832284,16.117545789,10.2090965895,18.07629461,10.4203982465,8.528040359,4.253380431,12.6396696475,7.643878129,6.7925179005,7.0529756915,8.4957629025,10.9946623575,10.922869391,7.5961784515,9.073606156,11.9043566305,10.836095018,14.7826856715,9.519740696,15.438659887,1.409217505,12.2474324525,9.401133458,11.839865189,15.401482485,19.571334733,13.8535810155,19.3755394565,13.281674405,12.7956000115,14.3719005965,17.916289556,6.2608606995,14.259879077,16.6578241745,9.842012175,14.700364143,4.5842844455,10.3344383465,4.165149016,14.701202314,8.069721738,13.6094475205,13.3230406885,17.8783439565,13.8327324225,17.481079164,16.5506652495,17.847534059,16.89596786,8.5912885885,5.5818179925,15.2520535885,9.2938838805,17.619205136,14.9474176955,11.8362009575,16.8589179785,15.0702836055,15.2328097035,15.3798029435,11.401630838,14.179050039,16.3544126875,6.1488347935,5.031808799,11.161862301,4.4266918645,16.751414554,12.3451810505
"9","Paclitaxel","Celecoxib",2.5975448,0.154750093,0.642932503,2.5966955575,2.6631730535,2.7596737035,4.1560046675,4.127174996,3.256984249,1.155833535,12.5192853875,16.5511382745,13.4951969085,13.568877363,7.0728817855,11.3717643985,4.414304916,13.7284972055,6.94104117,11.7244380955,14.4898500935,14.538830687,12.8267952725,4.889489131,7.980259727,4.987009016,2.2518048855,11.164596719,2.990713894,1.126268299,11.8696038345,12.3554239375,13.900222175,12.5452709285,11.561982903,6.894564967,14.367820738,9.416213968,7.730029599,8.227811552,16.088315314,5.0624370985,13.9830691285,5.419068577,12.2056242355,5.734893893,5.2770006025,5.030197592,11.1472531925,12.1679801225,10.0019274805,15.5389604755,9.4939587465,15.7396113275,9.7275844505,1.4151779,12.3347530495,8.9312576545,9.9208798745,10.7540186855,16.5868311635,14.555149622,16.4953944925,10.851330059,14.195886795,8.4238197265,7.4946736085,16.432009409,13.947599244,8.892012077,9.6877202985,12.565961017,10.2012764125,13.1083101585,14.3958017725,12.614610612,14.0718187855,15.830408532,12.6644136275,11.661992504,9.3923740625,17.2842736565,9.3574336835,12.5222016425,9.161572821,10.656978128,11.786832284,16.117545789,10.2090965895,18.07629461,10.4203982465,8.528040359,4.253380431,12.6396696475,7.643878129,6.7925179005,7.0529756915,8.4957629025,10.9946623575,10.922869391,7.5961784515,9.073606156,11.9043566305,10.836095018,14.7826856715,9.519740696,15.438659887,1.409217505,12.2474324525,9.401133458,11.839865189,15.401482485,19.571334733,13.8535810155,19.3755394565,13.281674405,12.7956000115,14.3719005965,17.916289556,6.2608606995,14.259879077,16.6578241745,9.842012175,14.700364143,4.5842844455,10.3344383465,4.165149016,14.701202314,8.069721738,13.6094475205,13.3230406885,17.8783439565,13.8327324225,17.481079164,16.5506652495,17.847534059,16.89596786,8.5912885885,5.5818179925,15.2520535885,9.2938838805,17.619205136,14.9474176955,11.8362009575,16.8589179785,15.0702836055,15.2328097035,15.3798029435,11.401630838,14.179050039,16.3544126875,6.1488347935,5.031808799,11.161862301,4.4266918645,16.751414554,12.3451810505
"10","Etoposide","Celecoxib",2.5975448,0.154750093,0.642932503,2.5966955575,2.6631730535,2.7596737035,4.1560046675,4.127174996,3.256984249,1.155833535,12.4766975705,16.4943200925,13.4520281885,13.5066806715,7.052791139,11.3316880625,4.3745788885,13.6739120525,6.9284149075,11.663021271,14.389785116,14.501023581,12.7561316025,4.8841415375,7.9381248955,4.9832776725,2.2518048855,11.084596719,2.9751583385,1.126268299,11.8057796605,12.2906135795,13.8614985935,12.30507485,5.367906141,6.888682614,14.3242642085,9.378142902,7.7234793805,8.208662616,16.0332694425,5.0624370985,13.93994241,5.419068577,12.168021223,5.727260305,5.2448704645,5.030197592,11.110603978,12.0881400555,9.962692605,15.5002478035,9.486560787,15.6931502885,9.6592060415,0,12.3036885985,8.91244045,9.855791117,10.682378787,16.519224291,14.4983956415,16.4259134945,10.809013258,14.156478145,8.401433331,7.4441118105,16.3900932415,13.8681290455,8.871302018,9.666352777,12.4934569255,10.1637885345,13.0125017755,14.342230344,12.5246825545,13.9840994875,15.771086498,12.604203693,11.603307346,9.25407619,17.212417369,9.318972145,12.4695700635,9.095600599,10.567433406,11.726030702,16.0636652175,10.179828297,17.981523368,10.3779280145,8.465540359,4.2102149635,12.612352302,7.636138191,6.78788955,7.046088639,8.470121877,10.964149205,10.9128443285,7.5774284515,9.0650150905,11.8649225575,10.8187679065,14.736877567,9.4407933275,15.390807739,1.409217505,12.179134084,9.3312327705,11.786530215,15.3705361935,19.539171842,13.79810692,19.314182417,13.225870834,12.756685369,14.28534271,17.886104159,6.235948154,14.194818647,16.620696711,9.8207930395,14.652041664,4.556553949,10.3066605685,4.165149016,14.65235528,8.0435552465,13.55479165,13.2933009115,17.821952979,13.7823122545,17.429079164,16.489917586,17.786058649,16.8335446025,8.5756635885,5.5818179925,15.193720255,9.2788838805,17.562753523,14.8563117665,11.7944712875,16.80519897,15.0239719555,15.195426526,15.3415376375,11.3410209655,14.127325901,16.2883960635,6.07540822,4.9671029165,11.1344075205,4.3707478085,16.7065022335,12.301082167
